0.444,0.229,0.272
0.440,0.203,0.302
0.432,0.178,0.334
0.421,0.155,0.368
0.407,0.134,0.402
0.391,0.115,0.438
0.372,0.098,0.474
0.351,0.083,0.510
0.328,0.069,0.547
0.304,0.057,0.583
0.278,0.046,0.619
0.251,0.037,0.654
0.224,0.030,0.689
0.197,0.024,0.722
0.171,0.018,0.754
0.145,0.014,0.784
0.120,0.011,0.812
0.097,0.008,0.838
0.075,0.006,0.861
0.056,0.004,0.882
0.040,0.003,0.900
0.025,0.002,0.915
0.014,0.002,0.926
0.006,0.001,0.935
0.001,0.001,0.940
0.000,0.001,0.942
0.001,0.001,0.940
0.006,0.001,0.935
0.014,0.001,0.927
0.026,0.002,0.915
0.040,0.002,0.901
0.056,0.003,0.883
0.075,0.004,0.863
0.097,0.006,0.839
0.120,0.009,0.814
0.144,0.012,0.786
0.170,0.016,0.756
0.196,0.021,0.725
0.223,0.027,0.692
0.250,0.035,0.657
0.276,0.044,0.622
0.302,0.054,0.586
0.326,0.066,0.550
0.349,0.079,0.514
0.369,0.095,0.478
0.388,0.112,0.442
0.404,0.131,0.407
0.417,0.151,0.372
0.428,0.174,0.339
0.435,0.198,0.307
0.439,0.225,0.276
0.440,0.253,0.247
0.438,0.282,0.220
0.432,0.313,0.194
0.424,0.346,0.170
0.412,0.379,0.148
0.397,0.414,0.128
0.380,0.449,0.110
0.361,0.485,0.093
0.339,0.521,0.078
0.316,0.558,0.065
0.291,0.594,0.054
0.265,0.629,0.044
0.239,0.664,0.035
0.212,0.698,0.028
0.185,0.730,0.022
0.159,0.761,0.017
0.134,0.791,0.013
0.110,0.818,0.010
0.088,0.842,0.008
0.067,0.865,0.006
0.049,0.884,0.004
0.034,0.901,0.003
0.021,0.914,0.002
0.011,0.925,0.002
0.004,0.932,0.001
0.000,0.936,0.001
0.000,0.937,0.001
0.003,0.934,0.001
0.009,0.928,0.001
0.018,0.918,0.001
0.030,0.906,0.002
0.045,0.890,0.003
0.062,0.872,0.004
0.082,0.850,0.005
0.104,0.826,0.007
0.127,0.800,0.010
0.152,0.772,0.014
0.178,0.742,0.018
0.204,0.710,0.024
0.230,0.676,0.030
0.257,0.642,0.038
0.282,0.607,0.048
0.307,0.571,0.059
0.331,0.535,0.071
